City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,lorengau,23,PG,1571197092,68,-2.02,147.27,84.47,6.64
88,atyrau,90,KZ,1571197092,100,47.1,51.92,50.0,8.95
89,cascais,20,PT,1571197098,87,38.7,-9.42,60.01,3.36
90,malanville,13,NE,1571197099,72,11.86,3.39,78.35,7.16
91,cape canaveral,1,US,1571197099,83,28.41,-80.6,79.0,10.29
92,mahebourg,40,MU,1571197100,69,-20.41,57.7,75.2,10.29
93,cape town,22,ZA,1571197100,59,-33.93,18.42,64.99,10.29
94,nemuro,75,JP,1571197100,50,43.32,145.57,55.4,14.99
95,liverpool,40,GB,1571197100,93,53.41,-2.98,53.6,10.29
96,saint-augustin,75,CA,1571197101,81,45.63,-73.98,50.0,4.63
97,ucluelet,100,CA,1571197102,95,48.94,-125.55,53.01,5.01
98,geraldton,90,CA,1571197102,86,49.72,-86.95,41.0,5.82
99,bethel,75,US,1571197103,93,60.79,-161.76,35.6,3.36
100,carnarvon,24,ZA,1571197103,26,-30.97,22.13,58.01,8.39
101,gamboma,52,CG,1571197103,95,-1.87,15.88,68.63,2.57
102,sambava,91,MG,1571197104,94,-14.27,50.17,69.71,1.83
103,axim,74,GH,1571197104,97,4.87,-2.24,73.85,3.12
104,avarua,54,CK,1571197105,65,-21.21,-159.78,77.0,9.17
105,mar del plata,96,AR,1571197105,76,-46.43,-67.52,48.11,14.84
106,komsomolskiy,40,RU,1571197106,72,67.55,63.78,23.27,19.49
107,salta,90,AR,1571197106,81,-24.79,-65.41,50.0,5.82
108,ribeira grande,100,PT,1571197107,96,38.52,-28.7,66.11,23.02
109,college,75,US,1571197107,46,64.86,-147.8,30.2,6.93
110,hilo,90,US,1571197108,65,19.71,-155.08,82.4,9.17
111,dunedin,100,NZ,1571197109,77,-45.87,170.5,53.01,11.99
112,broome,47,GB,1571197109,93,52.47,1.45,54.0,4.7
113,tuktoyaktuk,90,CA,1571197109,85,69.44,-133.03,23.0,13.87
114,olenegorsk,100,RU,1571197109,91,68.14,33.28,27.59,3.34
115,taoudenni,43,ML,1571197109,21,22.68,-3.98,87.71,9.05
116,lacombe,75,CA,1571197110,75,52.47,-113.73,44.01,11.41
117,nanortalik,0,GL,1571197110,61,60.14,-45.24,38.57,2.64
118,el cobre,40,VE,1571197111,88,8.04,-72.06,77.0,6.93
119,sibu,75,MY,1571197112,66,2.29,111.83,87.8,3.36
120,victoria,75,BN,1571197112,74,5.28,115.24,87.8,2.24
121,khandyga,44,RU,1571197113,77,62.65,135.58,19.13,2.55
122,shubarshi,0,KZ,1571197113,82,48.59,57.19,51.53,12.32
